都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室,入院患者受入即応病床数,入院率,重症患者受入即応病床数,宿泊施設受入即応室数,うち社会福祉施設等療養者数,療養先調整中の人数,うち入院先調整中の人数,入院者数（確保病床）,入院者数（臨時）,入院患者受入確保病床（臨時）,うち重症者数（確保病床）,うち重症者数（臨時確保病床）,うち重症患者受入確保病床数（臨時）,うち宿泊療養者数（臨時）,うち宿泊施設受入可能室数（臨時）,臨時施設療養者数,臨時施設フェーズ,臨時施設即応定員数,臨時施設確保定員数,臨時施設確保定員使用率
23,愛知県,24902,669,1769,,7,166,,336,2737,23009,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,１／２,24%,,１／２,4%,,１／２,12%,,1237,3%,133,2679,0,888,0,419,0,0,7,0,0,0,0,0,１／２,0,0,－
24,三重県,5591,140,493,,1,50,,34,468,5417,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／３,9%,,２／３,2%,,３／３,7%,,372,3%,46,468,83,0,0,42,0,0,1,0,0,0,0,0,２／３,0,0,－
25,滋賀県,4696,154,412,,3,44,,73,631,4464,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,37%,,３／４,7%,,３／４,12%,,369,3%,44,631,27,5,0,151,13,30,3,0,0,0,0,13,３／４,30,30,43%
26,京都府,5838,263,1033,,19,175,,83,1126,5492,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／２,25%,,２／２,11%,,１／１,7%,,1033,5%,175,1126,0,0,0,263,0,110,19,0,0,0,0,0,２／２,110,110,0%
27,大阪府,26404,966,4713,,247,1544,,1044,9505,24394,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／５,19%,,１／５,16%,,５／７,11%,,2111,4%,1134,7016,0,0,0,893,0,0,247,0,0,59,188,59,Ⅰ／Ⅰ,196,226,26%
28,兵庫県,12600,375,1712,,8,142,,138,2411,12087,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／５,22%,,３／５,6%,,３／５,6%,,1000,3%,100,1500,0,0,0,375,0,0,8,0,0,0,0,0,－,0,0,－
29,奈良県,3313,143,555,,5,36,,44,969,3126,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／３,22%,,２／３,14%,,２／３,5%,,303,4%,25,969,0,0,0,120,0,0,5,0,0,0,0,0,２／３,0,0,－
30,和歌山県,3265,234,636,,3,26,,57,178,2974,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,37%,,３／４,12%,,３／４,32%,,242,7%,17,178,0,0,0,234,0,0,3,0,0,0,0,0,３／４,178,181,0%
31,鳥取県,2346,77,351,,0,47,,14,448,2255,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／３,22%,,３／３,0%,,２／２,3%,,136,3%,30,448,0,0,0,77,0,5,0,0,0,0,0,0,１／１,5,5,0%
32,島根県,2930,115,371,,0,28,,13,133,2658,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／５,18%,,３／５,0%,,３／５,10%,,250,4%,5,133,2,144,0,65,0,0,0,0,0,0,0,0,－,0,0,－
33,岡山県,6425,185,598,,2,67,,96,629,6140,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,23%,,２／４,3%,,２／３,15%,,177,3%,11,373,182,4,1,136,0,0,2,0,0,0,0,0,２／４,0,5,0%
34,広島県,14140,256,517,,3,42,,248,1779,13636,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／４,38%,,２／４,5%,,２／４,14%,,382,2%,26,849,37,0,0,194,3,19,2,0,0,0,0,3,２／４,19,19,16%
35,山口県,4628,193,680,,2,47,,43,671,4390,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,28%,,３／４,4%,,３／４,6%,,527,4%,23,671,188,2,2,193,0,0,2,0,0,0,0,0,３／４,0,0,－
36,徳島県,2093,63,286,,1,25,,60,414,1970,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／５,22%,,２／５,4%,,５／５,14%,,152,3%,6,414,0,0,0,63,0,22,1,0,0,0,0,0,２／５,0,22,0%
37,香川県,3765,139,273,,4,30,,61,474,3561,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／３,25%,,２／３,13%,,２／２,13%,,203,4%,21,474,56,4,0,68,0,0,4,0,0,0,0,0,２／３,0,0,－
38,愛媛県,3956,134,391,,3,19,,36,263,3786,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／３,33%,,２／３,16%,,３／３,14%,,306,3%,9,263,89,0,0,129,0,0,3,0,0,0,67,0,２／３,67,67,0%
39,高知県,1378,52,365,,0,24,,14,190,1312,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／５,14%,,３／５,0%,,３／５,7%,,218,4%,16,190,43,0,0,52,0,0,0,0,0,0,0,0,３／５,0,0,－
40,福岡県,10193,487,2024,,4,217,,160,2432,9546,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／５,19%,,３／５,2%,,４／４,7%,,875,5%,119,2432,0,0,0,388,0,0,4,0,0,0,19,0,１／２,19,222,0%
41,佐賀県,2156,178,578,,0,48,,38,490,1940,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／５,15%,,１／５,0%,,１／４,8%,,214,8%,3,490,69,0,0,86,0,50,0,0,0,0,0,0,２／５,50,50,0%
42,長崎県,3188,174,496,,0,36,,52,758,2962,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,22%,,３／４,0%,,３／４,7%,,307,5%,21,758,109,0,0,108,0,0,0,0,0,0,0,0,３／４,0,0,－
43,熊本県,4453,227,832,,1,53,,124,1226,4102,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,１／２,26%,,１／２,2%,,１／２,10%,,697,5%,49,1226,0,0,0,216,0,0,1,0,0,0,0,0,－,0,0,－
44,大分県,2609,99,552,,0,43,,36,1460,2474,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,３／４,18%,,３／４,0%,,３／４,2%,,291,4%,42,1270,41,0,0,99,0,0,0,0,0,23,254,23,３／４,175,254,9%
45,宮崎県,2324,140,374,,1,17,,26,500,2158,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／２,13%,,２／２,6%,,３／３,5%,,366,6%,17,500,81,0,0,48,0,0,1,0,0,0,0,0,３／３,0,0,－
46,鹿児島県,2214,125,531,,0,25,,164,1653,1893,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,２／４,17%,,２／４,0%,,２／４,10%,,291,6%,6,310,0,32,0,92,0,0,0,0,0,0,47,0,１／４,0,59,0%
47,沖縄県,1934,83,619,,4,42,,133,1255,1687,,,2022-11-09,https://www.mhlw.go.jp/content/10900000/001012031.xlsx,４／５,13%,,４／５,10%,,４／５,11%,,453,4%,34,1241,57,31,0,83,0,25,4,0,0,6,75,6,４／５,100,100,6%
01,北海道,55570,2212,2284,,10,116,,465,2215,51306,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／３,46%,,３／３,9%,,２／３,21%,,2284,4%,116,2085,0,1587,0,1056,0,0,10,0,0,0,0,0,２／３,56,56,0%
02,青森県,6669,213,472,,2,31,,66,660,6390,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／５,34%,,１／５,6%,,３／５,10%,,460,3%,31,660,0,0,0,162,0,0,2,0,0,0,0,0,－,0,0,－
03,岩手県,7102,126,329,,2,34,,82,280,6894,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／２,38%,,２／２,6%,,２／２,29%,,329,2%,34,280,0,0,0,126,0,0,2,0,0,0,0,0,－,0,0,－
04,宮城県,16516,439,605,,5,55,,726,2090,14458,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,Ⅰ／Ⅰ,46%,,Ⅰ／Ⅰ,9%,,Ⅰ／Ⅰ,35%,,605,3%,55,2090,0,893,0,279,0,0,5,0,0,0,0,0,－,0,0,－
05,秋田県,6501,340,316,,3,24,,105,415,6024,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,６／６,41%,,６／６,13%,,６／６,25%,,316,5%,24,415,554,32,0,129,0,0,3,0,0,0,0,0,－,0,0,－
06,山形県,9202,271,283,,0,26,,52,348,8879,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,Ⅰ／Ⅱ,45%,,Ⅰ／Ⅱ,0%,,Ⅰ／Ⅱ,15%,,283,3%,26,348,0,0,0,127,0,0,0,0,0,0,0,0,Ⅰ／Ⅱ,0,0,－
07,福島県,13238,562,768,,2,46,,364,1224,12312,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／３,44%,,３／３,4%,,３／３,30%,,672,4%,46,1224,251,0,0,336,0,8,2,0,0,0,0,0,３／３,19,27,0%
08,茨城県,11803,344,706,,7,63,,544,2689,10915,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,５／７,49%,,１／７,11%,,４／５,20%,,500,3%,30,1539,0,0,0,344,0,0,7,0,0,0,0,0,－,0,0,－
09,栃木県,8893,237,595,,7,46,,103,1050,8553,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,40%,,２／３,15%,,２／３,10%,,365,3%,26,755,0,0,0,237,7,33,7,0,0,0,0,7,２／３,33,33,21%
10,群馬県,9709,544,676,,5,37,,224,1727,8370,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,４／４,53%,,１／４,14%,,４／６,13%,,676,6%,10,854,564,571,2,359,0,0,5,0,0,0,0,0,２／４,0,6,0%
11,埼玉県,26827,870,1506,,19,191,,583,1986,24698,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,49%,,１／４,10%,,４／４,29%,,1094,3%,61,1572,0,670,0,745,0,0,19,0,0,0,0,6,４／４,8,22,27%
12,千葉県,19090,799,1676,,6,128,,293,1758,17998,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／２,31%,,２／２,5%,,２／２,17%,,1105,4%,87,1588,0,0,0,527,19,189,6,0,0,0,3,19,２／２,63,192,10%
13,東京都,56146,2471,7496,,333,1047,,2077,7870,48991,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,１／２,32%,,１／２,32%,,１／２,26%,,4417,4%,763,6280,575,2501,176,2373,237,579,333,0,0,99,370,442,１／２,1384,1736,25%
14,神奈川県,34106,905,2100,,32,210,,209,1798,32916,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,１／４,43%,,１／４,15%,,１／１,12%,,1416,3%,210,1484,646,76,0,905,0,0,32,0,0,0,0,0,－,0,0,－
15,新潟県,12973,253,688,,4,112,,72,357,12648,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,１／４,37%,,１／４,4%,,３／３,20%,,388,2%,50,357,298,0,0,253,0,0,4,0,0,0,0,0,１／３,0,10,0%
16,富山県,5334,151,492,,0,36,,115,510,5068,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,31%,,２／３,0%,,２／３,23%,,286,3%,14,510,0,0,0,151,0,0,0,0,0,0,0,0,２／３,0,0,－
17,石川県,5925,154,299,,2,37,,57,630,5714,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／３,52%,,３／３,5%,,３／３,9%,,299,3%,37,630,0,0,0,154,0,0,2,0,0,0,0,0,３／３,0,0,－
18,福井県,2755,103,499,,0,24,,123,575,2529,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,１／４,21%,,１／４,0%,,２／４,21%,,154,4%,6,425,0,0,0,103,0,100,0,0,0,0,0,0,１／４,0,100,0%
19,山梨県,5023,154,438,,0,24,,275,969,4594,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,４／５,35%,,４／５,0%,,４／５,28%,,387,3%,24,969,256,0,0,154,0,0,0,0,0,102,639,102,４／５,639,639,16%
20,長野県,17442,384,531,,1,43,,176,735,16882,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／３,47%,,３／３,2%,,３／３,24%,,508,2%,37,735,558,0,0,248,0,0,1,0,0,0,0,0,－,0,0,－
21,岐阜県,11148,387,886,,1,59,,246,1932,10412,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,４／５,36%,,４／５,2%,,３／３,13%,,600,3%,51,1932,490,103,43,323,0,0,1,0,0,0,4,0,３／３,4,4,0%
22,静岡県,11992,285,827,,0,58,,80,773,11627,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／３,25%,,３／３,0%,,３／３,10%,,827,2%,58,773,0,0,0,205,0,0,0,0,0,0,0,0,３／３,0,50,0%
23,愛知県,30485,1108,1769,,14,166,,482,2737,27611,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,１／２,32%,,１／２,8%,,１／２,18%,,1237,4%,133,2679,0,1284,0,560,0,0,14,0,0,0,0,0,１／２,0,0,－
24,三重県,6825,260,493,,1,50,,48,468,6517,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,29%,,２／３,2%,,３／３,10%,,372,4%,46,468,160,0,0,145,0,0,1,0,0,0,0,0,１／２,0,10,0%
25,滋賀県,5250,169,416,,5,44,,68,631,5011,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,40%,,３／４,11%,,３／４,11%,,373,3%,44,631,47,2,0,165,7,30,5,0,0,0,0,7,３／４,30,30,23%
26,京都府,6632,384,1033,,29,175,,99,1126,6149,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／２,37%,,２／２,17%,,１／１,9%,,1033,6%,175,1126,0,0,0,384,0,110,29,0,0,0,0,0,２／２,110,110,0%
27,大阪府,30005,1137,4713,,297,1544,,1115,9505,27753,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／５,22%,,１／５,19%,,５／７,12%,,2267,4%,1135,6434,0,0,0,1038,0,0,293,0,0,59,188,59,Ⅰ／Ⅰ,196,226,26%
28,兵庫県,14189,452,1712,,12,142,,182,2411,13555,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／５,26%,,３／５,8%,,３／５,8%,,1000,3%,100,1500,0,0,0,452,0,0,12,0,0,0,0,0,－,0,0,－
29,奈良県,4046,194,566,,9,36,,77,969,3775,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,27%,,２／３,25%,,２／３,8%,,314,5%,25,969,0,0,0,153,0,0,9,0,0,0,0,0,２／３,0,0,－
30,和歌山県,3532,227,636,,3,26,,64,178,3241,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／４,36%,,２／４,12%,,２／４,36%,,278,6%,17,178,0,0,0,227,0,0,3,0,0,0,0,0,２／４,178,181,0%
31,鳥取県,2619,82,351,,0,47,,30,448,2507,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,23%,,２／３,0%,,１／２,7%,,136,3%,30,448,0,0,0,82,0,5,0,0,0,0,0,0,１／１,5,5,0%
32,島根県,3681,165,387,,1,28,,6,133,3342,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／５,20%,,３／５,4%,,３／５,5%,,262,4%,5,133,38,168,0,79,0,0,1,0,0,0,0,0,－,0,0,－
33,岡山県,8256,259,598,,5,67,,82,629,7912,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,32%,,２／４,7%,,２／３,13%,,277,3%,11,373,235,3,1,191,0,0,5,0,0,0,0,0,２／４,0,5,0%
34,広島県,16777,309,538,,6,42,,322,1779,16146,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／４,44%,,２／４,12%,,２／４,18%,,409,2%,28,1047,81,0,0,239,5,19,5,0,0,0,0,5,２／４,19,19,26%
35,山口県,4430,188,680,,0,47,,62,671,4180,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,28%,,３／４,0%,,３／４,9%,,527,4%,23,671,303,0,0,188,0,0,0,0,0,0,0,0,３／４,0,0,－
36,徳島県,2414,75,286,,1,25,,80,414,2259,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／５,26%,,２／５,4%,,５／５,19%,,152,3%,6,414,0,0,0,75,0,22,1,0,0,0,0,0,２／５,0,22,0%
37,香川県,3818,137,273,,1,30,,96,474,3584,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,35%,,２／３,3%,,２／２,20%,,203,4%,21,474,46,1,0,95,0,0,1,0,0,0,0,0,２／３,0,0,－
38,愛媛県,4933,181,398,,3,19,,30,263,4722,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／３,41%,,２／３,16%,,３／３,11%,,313,4%,9,263,159,0,0,163,0,0,3,0,0,0,67,0,２／３,67,67,0%
39,高知県,2004,64,365,,0,24,,21,190,1919,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／５,18%,,３／５,0%,,３／５,11%,,218,3%,16,190,62,0,0,64,0,0,0,0,0,0,0,0,３／５,0,0,－
40,福岡県,13519,641,2024,,5,217,,232,2432,12646,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,４／５,24%,,４／５,2%,,４／４,10%,,1354,5%,195,2432,0,0,0,488,0,0,5,0,0,0,19,0,１／２,19,222,0%
41,佐賀県,2982,158,578,,0,48,,35,490,2789,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／５,20%,,１／５,0%,,１／４,7%,,272,5%,4,490,165,0,0,114,0,50,0,0,0,0,0,0,２／５,50,50,0%
42,長崎県,3647,214,496,,0,36,,79,626,3354,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,26%,,３／４,0%,,３／４,13%,,307,6%,21,626,126,0,0,130,0,0,0,0,0,0,0,0,３／４,0,0,－
43,熊本県,5629,290,757,,4,55,,152,1226,5187,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／２,37%,,２／２,7%,,２／２,12%,,757,5%,55,1226,0,0,0,277,0,0,4,0,0,0,0,0,－,0,0,－
44,大分県,3471,122,552,,0,43,,48,1460,3301,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,３／４,22%,,３／４,0%,,３／４,3%,,300,4%,42,1270,27,0,0,122,0,0,0,0,0,23,254,23,３／４,175,254,9%
45,宮崎県,2742,95,374,,2,17,,39,500,2608,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／２,15%,,２／２,12%,,３／３,8%,,374,3%,17,500,73,0,0,57,0,0,2,0,0,0,0,0,３／３,0,0,－
46,鹿児島県,2802,209,531,,1,25,,244,1653,2341,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,２／４,28%,,２／４,4%,,２／４,15%,,300,7%,6,310,0,8,0,147,0,0,1,0,0,0,47,0,１／４,0,59,0%
47,沖縄県,2041,83,606,,4,40,,147,1255,1783,,,2022-11-16,https://www.mhlw.go.jp/content/10900000/001014638.xlsx,４／５,14%,,４／５,10%,,４／５,12%,,456,4%,34,1241,49,28,0,83,0,25,4,0,0,8,75,8,４／５,100,100,8%
01,北海道,59038,2116,2284,,11,116,,428,2215,52205,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／３,52%,,３／３,9%,,２／３,19%,,2284,4%,116,2085,0,4289,0,1177,0,0,11,0,0,0,0,0,２／３,56,56,0%
02,青森県,8420,309,480,,2,31,,73,660,8038,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／５,45%,,１／５,6%,,３／５,11%,,468,4%,31,660,0,0,0,216,0,0,2,0,0,0,0,0,－,0,0,－
03,岩手県,9002,151,329,,1,34,,91,280,8760,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／２,46%,,２／２,3%,,２／２,33%,,329,2%,34,280,0,0,0,151,0,0,1,0,0,0,0,0,－,0,0,－
04,宮城県,20267,516,592,,15,55,,845,2090,17795,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,Ⅰ／Ⅰ,57%,,Ⅰ／Ⅰ,27%,,Ⅰ／Ⅰ,40%,,592,3%,55,2090,0,1111,0,335,0,0,15,0,0,0,0,0,－,0,0,－
05,秋田県,7541,400,316,,3,24,,95,415,7018,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,６／６,48%,,６／６,13%,,６／６,23%,,316,5%,24,415,581,28,0,153,0,0,3,0,0,0,0,0,－,0,0,－
06,山形県,10158,451,284,,1,26,,46,348,9661,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,Ⅰ／Ⅱ,56%,,Ⅰ／Ⅱ,4%,,Ⅰ／Ⅱ,13%,,284,4%,26,348,0,0,0,160,0,0,1,0,0,0,0,0,Ⅰ／Ⅱ,0,0,－
07,福島県,15766,585,768,,1,46,,407,1224,14774,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／３,50%,,３／３,2%,,３／３,33%,,760,4%,46,1224,305,0,0,383,0,8,1,0,0,0,0,0,３／３,19,27,0%
08,茨城県,13175,389,706,,9,63,,546,2689,12240,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,５／７,55%,,１／７,14%,,４／５,20%,,500,3%,30,1539,0,0,0,389,0,0,9,0,0,0,0,0,－,0,0,－
09,栃木県,11196,275,664,,4,46,,126,1050,10795,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／３,41%,,２／３,9%,,２／３,12%,,467,2%,26,755,0,0,0,275,12,102,4,0,0,0,0,12,２／３,102,102,12%
10,群馬県,12415,580,676,,3,37,,195,1727,10727,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,４／４,57%,,４／４,8%,,４／６,11%,,676,5%,37,854,615,913,3,388,0,0,3,0,0,0,0,0,２／４,0,6,0%
11,埼玉県,32399,1043,1507,,20,191,,617,1986,29847,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／４,56%,,１／４,10%,,４／４,31%,,1152,3%,61,1702,0,888,0,847,0,0,20,0,0,0,0,4,４／４,8,22,18%
12,千葉県,24011,914,1676,,12,128,,314,1758,22783,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／２,38%,,２／２,9%,,２／２,18%,,1190,4%,91,1588,0,0,0,643,25,189,12,0,0,0,3,25,２／２,63,192,13%
13,東京都,65508,2737,7496,,353,1047,,2020,7870,56934,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／２,35%,,１／２,34%,,２／２,26%,,4732,4%,782,7870,933,3715,138,2615,232,579,353,0,0,98,370,432,２／２,1419,1701,25%
14,神奈川県,40358,1140,2200,,25,210,,217,1798,38956,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／４,52%,,１／４,12%,,１／１,12%,,1662,3%,93,1672,668,45,0,1140,0,0,25,0,0,0,0,0,－,0,0,－
15,新潟県,15767,324,688,,6,112,,62,357,15381,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／４,47%,,３／４,5%,,３／３,17%,,601,2%,112,357,347,0,0,324,0,0,6,0,0,0,0,0,１／３,0,10,0%
16,富山県,7025,205,492,,2,36,,130,510,6690,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／３,39%,,３／３,6%,,３／３,25%,,410,3%,36,510,0,0,0,194,0,0,2,0,0,0,0,0,３／３,0,0,－
17,石川県,7154,192,395,,0,37,,57,630,6905,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,Ⅰ／Ⅱ,49%,,Ⅰ／Ⅱ,0%,,Ⅰ／Ⅱ,9%,,395,3%,37,630,0,0,0,192,0,0,0,0,0,0,0,0,Ⅰ／Ⅱ,0,0,－
18,福井県,3061,112,499,,0,24,,127,575,2822,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／４,22%,,２／４,0%,,２／４,22%,,204,4%,13,425,0,0,0,112,0,100,0,0,0,0,0,0,２／４,0,100,0%
19,山梨県,5952,181,438,,0,24,,257,969,5510,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,４／５,41%,,４／５,0%,,４／５,27%,,387,3%,24,969,374,4,0,181,0,0,0,0,0,107,639,107,４／５,639,639,17%
20,長野県,19170,555,531,,1,43,,158,735,18457,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／３,61%,,３／３,2%,,３／３,21%,,508,3%,37,735,495,0,0,323,0,0,1,0,0,0,0,0,－,0,0,－
21,岐阜県,12991,395,886,,0,59,,277,1932,12156,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,４／５,40%,,４／５,0%,,３／３,14%,,610,3%,51,1932,667,163,39,351,0,0,0,0,0,0,4,0,３／３,4,4,0%
22,静岡県,13406,271,827,,1,58,,81,773,13054,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,３／３,25%,,３／３,2%,,３／３,10%,,827,2%,58,773,0,0,0,208,0,0,1,0,0,0,0,0,３／３,0,50,0%
23,愛知県,38846,1287,1690,,25,148,,491,2737,35406,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／２,43%,,２／２,17%,,２／２,18%,,1690,3%,148,2679,0,1662,0,734,0,0,25,0,0,0,0,0,２／２,0,0,－
24,三重県,8284,344,558,,2,50,,50,468,7890,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,Ⅰ／Ⅱ,39%,,Ⅰ／Ⅱ,4%,,３／３,11%,,450,4%,48,468,129,0,0,218,0,0,2,0,0,0,0,0,１／２,0,10,0%
25,滋賀県,6133,275,501,,4,52,,66,631,5779,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,Ⅰ／Ⅰ,42%,,Ⅰ／Ⅰ,8%,,Ⅰ／Ⅰ,10%,,405,4%,47,631,37,13,0,211,11,30,4,0,0,0,0,11,Ⅰ／Ⅰ,30,30,37%
26,京都府,8115,450,1033,,35,175,,127,1126,7538,,,2022-11-23,https://www.mhlw.go.jp/content/10900000/001017422.xlsx,２／２,44%,,２／２,20%,,１／１,11%,,1033,6%,175,1126,0,0,0,450,0,110,35,0,0,0,0,0,２／２,110,110,0%
