行ID,施設名,郵便番号,住所,電話番号,ウェブサイトURL,初診の対応可能,再診の対応可能,対応診療科,担当医師名,対面診療が必要と判断した場合に連携する医療機関名（複数ある場合は複数、住所も併せて記載）,地方ID,地方,ID地方,都道府県ID,都道府県,ID都道府県,市区町村ID,市区町村,ID市区町村,二次医療圏ID,二次医療圏,ID二次医療圏
722,八戸市国民健康保険南郷診療所,031-0202,青森県八戸市南郷大字島守字梨子ノ久保２５－３,0178-82-2211,https://www.city.hachinohe.aomori.jp/shisetsuannai/kenko_fukushi/8787.html,×,〇,内科,中里和彦,八戸市立市民病院（青森県八戸市田向三丁目1番1号）八戸赤十字病院（青森県八戸市大字田面木字中明戸2番地）,2,東北,2東北,2,青森県,02青森県,2203,八戸市,02203八戸市,202,八戸地域,0202八戸地域
723,きどクリニック,031-0011,青森県八戸市田向5丁目22-1,0178-80-7211,,〇,〇,泌尿器科内科透析,城戸啓治,八戸赤十字病院（八戸市大字田面木字中明戸2）青森労災病院（八戸市大字白銀町南が丘1）,2,東北,2東北,2,青森県,02青森県,2203,八戸市,02203八戸市,202,八戸地域,0202八戸地域
724,田名部整形外科,039-1165,青森県八戸市石堂1-5-25,0178-29-1000,http://www.tanabuseikei.com/haik/index.php,×,〇,整形外科リウマチ科リハビリテーション科,田名部誠悦,八戸市立市民病院（青森県八戸市田向三丁目1番1号）,2,東北,2東北,2,青森県,02青森県,2203,八戸市,02203八戸市,202,八戸地域,0202八戸地域
725,吹上眼科,031-0003,青森県八戸市吹上2丁目10-5,0178-72-3372,,×,〇,眼科,久保勝文,八戸市立市民病院（青森県八戸市田向三丁目1番1号）,2,東北,2東北,2,青森県,02青森県,2203,八戸市,02203八戸市,202,八戸地域,0202八戸地域
726,黒石病院,036-0541,青森県黒石市北美町1丁目70番地,0172-52-2121,http://hospital-kuroishi.jp/,×,〇,全診療科,全医師,,2,東北,2東北,2,青森県,02青森県,2204,黒石市,02204黒石市,201,津軽地域,0201津軽地域
727,ちとせクリニック,036-0356,青森県黒石市ちとせ1丁目139,0172-53-7228,,〇,〇,内科,北山,,2,東北,2東北,2,青森県,02青森県,2204,黒石市,02204黒石市,201,津軽地域,0201津軽地域
728,津軽保健生活協同組健生黒石診療所,036-0356,青森県黒石市ちとせ3丁目7,0172-53-3015,https://www.tsugaru-health.coop/clinics_kuroishi.html,×,〇,内科小児科,坂戸慶一郎,津軽保健生活協同組合健生病院（青森県弘前市大字扇町2丁目2-2）,2,東北,2東北,2,青森県,02青森県,2204,黒石市,02204黒石市,201,津軽地域,0201津軽地域
729,医療法人芙蓉会村上病院,037-0069,青森県青森市浜田3丁目3-14,017-729-8888,http://www.fuyoukai.or.jp/murakami_h/,×,△,各診療科,各科担当医師,,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
730,つがる西北五広域連合つがる総合病院,037-0074,青森県五所川原市字岩木町12番地3,0173-35-3111,http://www.tsgren.jp/tsugaru-general-hospital/,×,〇,検討中,,,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
731,（医）慈仁会尾野病院,037-0202,青森県五所川原市金木町朝日山453,0173-53-2071,http://ono-hospital.com/index.html,×,〇,内科整形外科,菅原和夫他５名,つがる総合病院（青森県五所川原市岩木町12-3）,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
732,医療法人白生会胃腸病院,037-0066,青森県五所川原市字中平井町142-1,0173-34-6111,http://www.hakuseikai.com/,〇,〇,内科消化器内科外科整形外科,田村英嗣百田行雄高橋秀斎藤信哉,つがる総合病院（青森県五所川原市岩木町12-3）,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
733,こどもクリニックおとも,037-0033,青森県五所川原市鎌谷町163-1,0173-39-2151,http://www.otomo-clinic.net,〇,〇,小児科アレルギー科,小友勇人,つがる総合病院（青森県五所川原市岩木町12-3）,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
734,津軽保健生活協同組合健生五所川原診療所,037-0016,青森県五所川原市字一ッ谷508-7,0173-35-2542,,×,〇,内科,津川信彦,つがる総合病院（五所川原市岩木町12-3）健生病院（弘前市扇町2-2-2）,2,東北,2東北,2,青森県,02青森県,2205,五所川原市,02205五所川原市,204,西北五地域,0204西北五地域
735,育成会内科小児科,034-0083,青森県十和田市西三番町1-28,0176-23-3821,,×,〇,内科小児科,羽吉育子他担当医師2名,,2,東北,2東北,2,青森県,02青森県,2206,十和田市,02206十和田市,205,上十三地域,0205上十三地域
736,十和田済誠会病院,034-0089,青森県十和田市西二十三番町1-1,0176-23-6251,https://towada-saiseikai-hp.jp/,×,〇,精神科心療内科内科,江渡篤子高田隼人河村哲,十和田市立中央病院（十和田市西十二番町14-8）,2,東北,2東北,2,青森県,02青森県,2206,十和田市,02206十和田市,205,上十三地域,0205上十三地域
737,十和田北クリニック,034-0003,青森県十和田市元町東五丁目８番５４号,0176-21-3741,http://www.m-c-seishokai.jp/index_to.html,×,〇,泌尿器科内科外科,鵜浦有弘中林敬,,2,東北,2東北,2,青森県,02青森県,2206,十和田市,02206十和田市,205,上十三地域,0205上十三地域
738,ひぐちクリニック,033-0031,青森県三沢市桜町3丁目10-14,0176-50-1441,,〇,〇,内科小児科,樋口茂樹,三沢市立三沢病院（三沢市大字堀口164-65）,2,東北,2東北,2,青森県,02青森県,2207,三沢市,02207三沢市,205,上十三地域,0205上十三地域
739,まつぞのクリニック,033-0037,青森県三沢市松園町3-9-4,0176-52-5050,,×,〇,内科外科,近藤真人,,2,東北,2東北,2,青森県,02青森県,2207,三沢市,02207三沢市,205,上十三地域,0205上十三地域
740,一般財団法人仁和会三沢中央病院,033-0001,青森県三沢市中央町三丁目11番3号,0176-57-1111,http://misawach-kojika.com,×,〇,内科外科整形外科,小鹿雅博佐藤寿穂石田馨屋成信吾,,2,東北,2東北,2,青森県,02青森県,2207,三沢市,02207三沢市,205,上十三地域,0205上十三地域
741,むつ総合病院,035-8601,青森県むつ市小川町1丁目2番8号,0175-22-2111,http://www.hospital-mutsu.or.jp/,×,〇,各診療科,橋爪正他担当医師,,2,東北,2東北,2,青森県,02青森県,2208,むつ市,02208むつ市,206,下北地域,0206下北地域
742,ちば小児科アレルギー科クリニック,035-0066,青森県むつ市緑ヶ丘6-16,0175-33-8001,http://www.chibaclinic.jp/,×,〇,小児科アレルギー科,千葉喜代志,むつ総合病院（むつ市小川町1丁目2-8）,2,東北,2東北,2,青森県,02青森県,2208,むつ市,02208むつ市,206,下北地域,0206下北地域
743,医療法人誠仁会尾野病院,038-3194,青森県つがる市木造若竹5番地,0173-42-2133,http://www.aomori-seijinkai.or.jp/onohp.html,×,〇,内科,一戸淳他担当医,,2,東北,2東北,2,青森県,02青森県,2209,つがる市,02209つがる市,204,西北五地域,0204西北五地域
744,みやしげ内科クリニック,038-3141,青森県つがる市木造浮巣45-1,0173-49-1123,,〇,〇,内科小児科,宮重希典,,2,東北,2東北,2,青森県,02青森県,2209,つがる市,02209つがる市,204,西北五地域,0204西北五地域
745,碇ヶ関診療所,038-0101,青森県平川市碇ヶ関三笠山120番地1,0172-45-2780,https://www.city.hirakawa.lg.jp/fukushi/shinryoujo/ikarigaseki/,〇,〇,内科,奥口知行,,2,東北,2東北,2,青森県,02青森県,2210,平川市,02210平川市,201,津軽地域,0201津軽地域
746,ときわ会病院,038-1216,青森県南津軽郡藤崎町大字榊字亀田2-1,0172-65-3771,https://www.tokiwakai.or.jp/tokiwa/,×,〇,内科,荘司,,2,東北,2東北,2,青森県,02青森県,2361,南津軽郡藤崎町,02361南津軽郡藤崎町,201,津軽地域,0201津軽地域
747,藤崎町立藤崎診療所,038-3803,青森県南津軽郡藤崎町西豊田1丁目2,0172-75-4111,,×,〇,内科外科婦人科,石塚武夫小柳雅是前田由子他,ときわ会病院（藤崎町大字榊字亀田2-1）,2,東北,2東北,2,青森県,02青森県,2361,南津軽郡藤崎町,02361南津軽郡藤崎町,201,津軽地域,0201津軽地域
748,せきばクリニック,038-3802,青森県南津軽郡藤崎町藤崎字武元5-5,0172-75-3020,http://sekibaclinic.jupiter.bindcloud.jp/,〇,〇,小児科内科,関場慶博,ときわ会病院（藤崎町大字榊字亀田2-1）,2,東北,2東北,2,青森県,02青森県,2361,南津軽郡藤崎町,02361南津軽郡藤崎町,201,津軽地域,0201津軽地域
749,国民健康保険板柳中央病院,038-3672,青森県北津軽郡板柳町大字灰沼字岩井７４－２,0172-73-3231,https://www.town.itayanagi.aomori.jp/life/health/kyukyu.html,×,〇,内科,照井,,2,東北,2東北,2,青森県,02青森県,2381,北津軽郡板柳町,02381北津軽郡板柳町,201,津軽地域,0201津軽地域
750,のへじクリニック,039-3152,青森県上北郡野辺地町字下小中野18-8,0175-64-7333,,△,〇,内科泌尿器科,各科担当医師,十和田市立中央病院（十和田市西十二番町14-8）,2,東北,2東北,2,青森県,02青森県,2401,上北郡野辺地町,02401上北郡野辺地町,205,上十三地域,0205上十三地域
751,公立七戸病院,039-2595,青森県上北郡七戸町字影津内98-1,0176-62-2105,,×,〇,内科外科整形外科,小野正人他担当医師7名,,2,東北,2東北,2,青森県,02青森県,2402,上北郡七戸町,02402上北郡七戸町,205,上十三地域,0205上十三地域
752,菜の花クリニック,039-4145,青森県上北郡横浜町字寺下81-2,0175-76-1787,,〇,〇,内科,本多廣行石木基夫,公立野辺地病院（野辺地町字鳴沢9-12）むつ総合病院（むつ市小川町1-2-8）,2,東北,2東北,2,青森県,02青森県,2406,上北郡横浜町,02406上北郡横浜町,205,上十三地域,0205上十三地域
753,国民健康保険大間病院,039-4601,青森県下北郡大間町大字大間字大間平20-78,0175-37-2105,http://www.shimokita-mc.jp/oma/,×,〇,内科,平野貴大他５担当医師,,2,東北,2東北,2,青森県,02青森県,2423,下北郡大間町,02423下北郡大間町,206,下北地域,0206下北地域
754,東通村診療所,039-4222,青森県下北郡東通村大字砂子又字里17番地2,0175-28-5111,https://higashidori.jadecom.or.jp/,△,〇,内科,川原田恒他担当医師2名,,2,東北,2東北,2,青森県,02青森県,2424,下北郡東通村,02424下北郡東通村,206,下北地域,0206下北地域
755,さいクリニック,039-4711,青森県下北郡佐井村大字佐井字大佐井川目38-1,0175-33-2424,,×,〇,整形外科,大竹進,大間病院（大間町大字大間字大間平20番地78）,2,東北,2東北,2,青森県,02青森県,2426,下北郡佐井村,02426下北郡佐井村,206,下北地域,0206下北地域
756,三戸町国民健康保険三戸中央病院,039-0141,青森県三戸郡三戸町大字川守田字沖中9-1,0179-20-1131,https://hospital.town.sannohe.aomori.jp/,×,〇,内科、小児科、産婦人科、眼科、耳鼻咽喉科等,東山明弘他6担当医師その他非常勤医師,,2,東北,2東北,2,青森県,02青森県,2441,三戸郡三戸町,02441三戸郡三戸町,202,八戸地域,0202八戸地域
757,田子診療所,039-0201,青森県三戸郡田子町大字田子字前田2-17,0179-32-3171,http://www.town.takko.lg.jp/sections/index.cfm?footer=4,〇,〇,内科,田中裕之奥山佐治,,2,東北,2東北,2,青森県,02青森県,2443,三戸郡田子町,02443三戸郡田子町,202,八戸地域,0202八戸地域
758,南部病院,039-0105,青森県三戸郡南部町大字沖田面字千刈52-2,0179-34-3131,http://nanbu-hp.or.jp,×,〇,内科外科,小原正和小笠原博,三戸中央病院（青森県三戸郡三戸町川守田字沖中9-1）,2,東北,2東北,2,青森県,02青森県,2445,三戸郡南部町,02445三戸郡南部町,202,八戸地域,0202八戸地域
759,医療法人湘洋会ナンブクリニック,039-0105,青森県三戸郡南部町沖田面字千刈47-1,0179-20-6161,http://www.nanbu-clin.jp/,×,〇,眼科,陰山俊之陰山美樹,,2,東北,2東北,2,青森県,02青森県,2445,三戸郡南部町,02445三戸郡南部町,202,八戸地域,0202八戸地域
760,医療法人はらだクリニック,039-0802,青森県三戸郡南部町大字苫米地字白山堂13-2,0178-60-1661,https://harada-clinic-nanbu.com/,〇,〇,内科,原田英也,,2,東北,2東北,2,青森県,02青森県,2445,三戸郡南部町,02445三戸郡南部町,202,八戸地域,0202八戸地域
761,小松内科医院,039-1201,青森県三戸郡階上町大字道仏字天当平1-189,0178-88-5515,http://www.komatsunaika.com/,×,〇,内科,小松修,,2,東北,2東北,2,青森県,02青森県,2446,三戸郡階上町,02446三戸郡階上町,202,八戸地域,0202八戸地域
762,逢坂医院,020-0062,岩手県盛岡市長田町10-32,019-622-6016,https://www.489map.com/helios/A5118426/reserve/syoshin,〇,〇,泌尿器科外科、内科,逢坂宇一,いするぎ医院（岩手県盛岡市大通3丁目3-22）本間内科医院（岩手県盛岡市上田2丁目20-13）,2,東北,2東北,3,岩手県,03岩手県,3201,盛岡市,03201盛岡市,301,盛岡,0301盛岡
763,八角病院,028-4125,岩手県盛岡市好摩字夏間木７０番地１９０,019-682-0201,https://nisshindo-g.com/,〇,〇,内科整形外科脳神経外科,八角有紀小西康弘阪川肇阿部みちる金正門,八角医院（岩手県盛岡市好摩字夏間木101番地2）,2,東北,2東北,3,岩手県,03岩手県,3201,盛岡市,03201盛岡市,301,盛岡,0301盛岡
764,八角医院,028-4125,岩手県盛岡市好摩字夏間木101番地2,019-682-0007,https://yasumi-clinic.nisshindo-g.com/,〇,〇,内科糖尿病代謝内科皮膚科整形外科,八角有紀髙橋克郎阪川肇,八角病院（岩手県盛岡市好摩字夏間木70番地190）,2,東北,2東北,3,岩手県,03岩手県,3201,盛岡市,03201盛岡市,301,盛岡,0301盛岡
765,中舘内科クリニック,025-0038,岩手県花巻市不動町2丁目1-4,0198-41-1515,?なし,〇,〇,内科,中舘一朗,（公財)総合花巻病院（岩手県花巻市花城町4番28号）岩手県立中部病院（岩手県北上市村崎野17地割10番地）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
766,藤巻胃腸科内科クリニック,025-0016,岩手県花巻市高木15-16-1,0198-23-0051,http://www.michinoku.ne.jp/~efuji/,〇,〇,内科,藤巻英二,総合花巻病院（花巻市御田屋町4番56号）岩手県立中部病院（北上市村崎野17地割10番地）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
767,とみつか脳神経外科クリニック,025-0082,岩手県花巻市御田屋町1-41,0198-23-2100,http://tomy-clinic.net,〇,〇,脳神経外科,冨塚信彦,総合花巻病院（岩手県花巻市御田屋町4-57）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
768,熊谷内科胃腸科医院,025-0097,岩手県花巻市若葉町3丁目1-7,0198-22-1234,?なし,〇,〇,内科,熊谷和久,総合花巻病院(岩手県花巻御田屋町4-57),2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
769,三浦医院,025-0097,岩手県花巻市若葉町２丁目５番２１号,0198-23-2711,?なし,〇,〇,整形外科皮膚科,三浦良雄,総合花巻病院（花巻市御田屋町４－５６）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
770,岩手県立東和病院,028-0115,岩手県花巻市東和町安俵６区７５番地１,0195-42-2211,http://www.towa-hp.com/,×,〇,内科外科,松浦和博佐久山雅文佐藤武彦福士敬子大志田創太郎星清継,,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
771,晴山医院,028-0113,岩手県花巻市東和町,0198-44-2325,?なし,×,△,内科,楊恵珠,,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
772,いしどりや眼科,028-3101,花巻市石鳥谷町好地6－1,0198-45-6110,?なし,×,〇,眼科,玉木光子,岩手県立中部病院岩手医科大学付属内丸メディカルセンター,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
773,恵ライフクリニック,025-0037,岩手県花巻市太田51-221,0198-39-1133,http://www.kei-life.com,〇,〇,内科,高田恵一,公益財団法人総合花巻病院（岩手県花巻市御田屋町4-57）岩手県立中部病院（岩手県北上市村崎野17-10）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
774,医療法人社団光寿会ささきクリニック,025-0053,岩手県花巻市中北万丁目836番,0198-22-4116,?なし,〇,〇,肛門科外科胃腸科内科麻酔科ペインクリニック,佐々木盛光佐々木壽美,岩手県立中部病院（岩手県北上市村崎野17-10）総合花巻病院（岩手県花巻市御田屋町4-56）,2,東北,2東北,3,岩手県,03岩手県,3205,花巻市,03205花巻市,302,岩手中部,0302岩手中部
775,みなみ内科クリニック,024-0056,岩手県北上市鬼柳町荒高35-1,0197-62-3730,http://www.minami-naika.net,×,〇,内科循環器内科,南仁貴,岩手県立中部病院(岩手県北上市村崎野17地割10番地）北上済生会病院（岩手県北上市花園町1-6-8）,2,東北,2東北,3,岩手県,03岩手県,3206,北上市,03206北上市,302,岩手中部,0302岩手中部
776,しゅういちろう内科クリニック,024-0004,岩手県北上市村崎野17地割167-3,0197-72-6567,http://s16naika.com/,〇,〇,内科消化器内科,高橋秀一郎,,2,東北,2東北,3,岩手県,03岩手県,3206,北上市,03206北上市,302,岩手中部,0302岩手中部
777,みずかわ耳鼻咽喉科医院,024-0071,岩手県北上市上江釣子15地割213,0197-72-6760,http://mizukawa.winups.jp/,〇,〇,耳鼻咽喉科,水川敦裕水川知子,当院,2,東北,2東北,3,岩手県,03岩手県,3206,北上市,03206北上市,302,岩手中部,0302岩手中部
778,千田クリニック,024-0052,北上市大堤北一丁目5-8,0197-71-2455,?なし,×,〇,内科,千田雅美千田恵美,なし,2,東北,2東北,3,岩手県,03岩手県,3206,北上市,03206北上市,302,岩手中部,0302岩手中部
779,岩手県立久慈病院,028-8040,岩手県久慈市旭町第１０地割１番,0194-53-6131,http://www.kuji-hp.com/,×,〇,精神科呼吸器内科消化器内科循環器内科外科脳神経外科形成外科放射線科脳神経内科,,,2,東北,2東北,3,岩手県,03岩手県,3207,久慈市,03207久慈市,308,久慈,0308久慈
780,岩手県立遠野病院,028-0541,岩手県遠野市松崎町白岩14地割74番地,0198-62-2222,http://www.tono-hospital.com/,×,〇,標榜診療科,各診療科医師,,2,東北,2東北,3,岩手県,03岩手県,3208,遠野市,03208遠野市,302,岩手中部,0302岩手中部
781,医療法人英仁会中里クリニック,021-0008,岩手県一関市石畑6-29,0191-32-5888,?なし,〇,〇,内科、外科泌尿器科皮膚科,佐藤文英,岩手県立磐井病院（岩手県一関市狐禅寺字大平17）国立病院機構岩手病院（岩手県一関市山目泥田山下48）,2,東北,2東北,3,岩手県,03岩手県,3209,一関市,03209一関市,304,両磐,0304両磐
782,千厩ひかりクリニック,028-0803,岩手県一関市千厩町千厩字石堂13番地２,0191-51-1156,https://www.hikari-clin.com/,×,〇,内科、神経内科,岩本浩之,,2,東北,2東北,3,岩手県,03岩手県,3209,一関市,03209一関市,304,両磐,0304両磐
783,谷藤内科医院,029-0803,一関市千厩町千厩字町浦185,0191-51-3355,http://tanifuji.byoinnavi.jp/pc/index.html,〇,〇,内科小児科,谷藤正人大谷寧子,,2,東北,2東北,3,岩手県,03岩手県,3209,一関市,03209一関市,304,両磐,0304両磐
784,岩手県立大東病院,029-0711,岩手県一関市大東町大原川内１２８,0191-72-2121,http://www.daitou-hp.com/,×,〇,内科外科整形外科皮膚科,杉山照幸上野正博藤井大和,,2,東北,2東北,3,岩手県,03岩手県,3209,一関市,03209一関市,304,両磐,0304両磐
785,釜石のぞみ病院,026-0025,岩手県釜石市大渡町3-15-26,0193-31-2300,http://www.jinikai.jp/nozomi/,×,〇,内科眼科,八島良幸高橋昌克葛西款,,2,東北,2東北,3,岩手県,03岩手県,3211,釜石市,03211釜石市,306,釜石,0306釜石
786,岩手県立二戸病院,028-6193,岩手県二戸市堀野字大川原毛38-2,0195-23-2191,https://www.ninohe-hp.net/,×,〇,各診療科,各診療科医師,,2,東北,2東北,3,岩手県,03岩手県,3213,二戸市,03213二戸市,309,二戸,0309二戸
787,奥州病院,023-0828,岩手県奥州市水沢東大通1丁目5番30号,0197-25-5111,http://www.hopital-ohshu.or.jp/,×,〇,内科外科,長澤茂,,2,東北,2東北,3,岩手県,03岩手県,3215,奥州市,03215奥州市,303,胆江,0303胆江
788,医療法人のんびりさくらクリニック,023-0802,岩手県奥州市水沢大畑小路２７－１,0197-51-7600,http://sakura-cli.com/,×,〇,精神科心療内科,阿部佐倉,,2,東北,2東北,3,岩手県,03岩手県,3215,奥州市,03215奥州市,303,胆江,0303胆江
789,おとめがわ病院,023-0003,岩手県奥州市水沢佐倉河字慶徳27-1,0197-24-4148,http://www.rnac.ne.jp/~otomegawahp,×,〇,精神科,上田雅道,,2,東北,2東北,3,岩手県,03岩手県,3215,奥州市,03215奥州市,303,胆江,0303胆江
790,奥州市総合水沢病院,023-0053,岩手県奥州市水沢大手町三丁目1番地,0197-25-3833,http://www.mizhsp-iwate.jp/,×,〇,内科、循環器内科、外科、整形外科、泌尿器科、精神科、婦人科、耳鼻いんこう科,各診療科医師,,2,東北,2東北,3,岩手県,03岩手県,3215,奥州市,03215奥州市,303,胆江,0303胆江
791,上原小児科医院,020-0536,岩手県岩手郡雫石町八卦1-16,019-692-3907,?なし,〇,〇,内科小児科,上原充郎,,2,東北,2東北,3,岩手県,03岩手県,3301,岩手郡雫石町,03301岩手郡雫石町,301,盛岡,0301盛岡
792,岩手県立中央病院附属紫波地域診療センター,028-3307,岩手県紫波郡紫波町桜町字三本木32番地,019-676-3311,http://www2.pref.iwate.jp/~hp9001/iphs/iph260/index.html,×,〇,内科外科,小野満松尾力藤井正範,,2,東北,2東北,3,岩手県,03岩手県,3321,紫波郡紫波町,03321紫波郡紫波町,301,盛岡,0301盛岡
793,社団医療法人緑風会髙宮消化器科内科医院,028-3603,岩手県紫波郡矢巾町大字西徳田第２地割106番３,019-697-7030,https://shiwa-med.jp/medical/111,〇,〇,消化器科内科循環器科呼吸器科,髙宮秀武,,2,東北,2東北,3,岩手県,03岩手県,3322,紫波郡矢巾町,03322紫波郡矢巾町,301,盛岡,0301盛岡
794,岩手医科大学附属病院,028-3695,岩手県紫波郡矢巾町医大通二丁目１番１号,019-613-7111,https://www.hosp.iwate-med.ac.jp/,△,〇,,,,2,東北,2東北,3,岩手県,03岩手県,3322,紫波郡矢巾町,03322紫波郡矢巾町,301,盛岡,0301盛岡
795,町立西和賀さわうち病院,029-5612,岩手県和賀郡西和賀町沢内字大野13-3-12,0197-85-3131,"http://www.town.nishiwaga.lg.jp/index.cfm/18,html",〇,〇,内科,北村道彦小原眞伊瀬谷和輝,佐々木内科小児科医院（岩手県和賀郡西和賀町湯本30-80-8）赤坂医院（岩手県和賀郡西和賀町湯本29-66-4）さわうち協立診療所（岩手県和賀郡西和賀町沢内字新町4-16-1）,2,東北,2東北,3,岩手県,03岩手県,3366,和賀郡西和賀町,03366和賀郡西和賀町,302,岩手中部,0302岩手中部
796,国民健康保険金ケ崎診療所,029-4503,岩手県胆沢郡金ケ崎町西根鑓水98番地,0197-44-4560,http://www.town.kanegasaki.iwate.jp/docs/2017110100016/,×,〇,内科,阿部俊和古田一裕加藤喜信,,2,東北,2東北,3,岩手県,03岩手県,3381,胆沢郡金ケ崎町,03381胆沢郡金ケ崎町,303,胆江,0303胆江
797,岩手県立大槌病院,028-1121,手県上閉伊郡大槌町小鎚第23地割字寺野１番地,１0193-42-2121,https://www5.pref.iwate.jp/~ootsuchi/,×,〇,内科外科整形外科皮膚科眼科,佐藤一黒田継久佐々木健治種川達也岩田千尋（整形外科応援医師）（皮膚科応援医師）（眼科応援医師）,,2,東北,2東北,3,岩手県,03岩手県,3461,上閉伊郡大槌町,03461上閉伊郡大槌町,306,釜石,0306釜石
798,岩手県立一戸病院,028-5312,岩手県二戸郡一戸町一戸字砂森６０番地1,0195-33-3101,http://www.ichinohe-hp.com/,×,〇,各診療科,各診療科医師,,2,東北,2東北,3,岩手県,03岩手県,3524,二戸郡一戸町,03524二戸郡一戸町,309,二戸,0309二戸
799,宮城中央病院,980-0011,宮城県仙台市青葉区上杉1-9-17,022-224-1307,http://www.miyachu-hp.or.jp,×,〇,内科整形外科泌尿器科,西山昭光佐々木徹泡渕賢,,2,東北,2東北,4,宮城県,04宮城県,4101,仙台市青葉区,04101仙台市青葉区,403,仙台,0403仙台
800,医療法人泉整形外科病院,981-3121,宮城県仙台市泉区上谷刈字丸山6-1,022-373-7377,http://izumiseikei.com/,×,〇,整形外科,根本忠信高原政利太田吉雄平山朋幸花香直美,,2,東北,2東北,4,宮城県,04宮城県,4105,仙台市泉区,04105仙台市泉区,403,仙台,0403仙台
801,公益財団法人宮城厚生協会泉病院,981-3212,宮城県仙台市泉区長命ヶ丘2丁目1-1,022-378-5361,https://www.m-kousei.com/izumi/,×,〇,内科小児科,浅利まみ川辺弘明,,2,東北,2東北,4,宮城県,04宮城県,4105,仙台市泉区,04105仙台市泉区,403,仙台,0403仙台
802,多賀城あかざクリニック,985-0853,宮城県多賀城市高橋2-15-28,022-794-7201,http://akaza-mc.com,〇,〇,内科皮膚科,黒本暁人西塚麻代,東北医科薬科大学病院（宮城県仙台市宮城野区福室1-12-1）,2,東北,2東北,4,宮城県,04宮城県,4209,多賀城市,04209多賀城市,403,仙台,0403仙台
803,二瓶内科胃腸科医院,987-0511,宮城県登米市迫町佐沼字中江3-7-7,0220-22-6508,https://www.niheinaika.com/,〇,〇,消化器内科内科,二瓶次郎二瓶公佑,登米市民病院（宮城県登米市迫町佐沼下田中25）,2,東北,2東北,4,宮城県,04宮城県,4212,登米市,04212登米市,409,石巻・登米・気仙沼,0409石巻・登米・気仙沼
804,（医法）財団弘慈会石橋病院,989-5501,宮城県栗原市若柳字川北堤下27,0228-32-2583,http://www.kojikai.jp/,×,〇,内科内科整形外科リウマチ科心療内科,小林恒三郎松田明広石橋弘二高井修山内祐一,栗原市立栗原中央病院（栗原市築館宮野中央3丁目1-1）,2,東北,2東北,4,宮城県,04宮城県,4213,栗原市,04213栗原市,406,大崎・栗原,0406大崎・栗原
805,医療法人社団仙石病院,981-0501,宮城県東松島市赤井字台53-7,0225-83-2111,https://senseki.com/,×,〇,泌尿器科脳神経外科内科循環器内科皮膚科,神部廣一新宅一郎山室拓白井修一新妻博加藤秀明神部眞理子神山泰彦江川南翔長南明道宗久雅人野村丈紘武川裕之柴田由比,,2,東北,2東北,4,宮城県,04宮城県,4214,東松島市,04214東松島市,409,石巻・登米・気仙沼,0409石巻・登米・気仙沼
806,TownClinicen,981-3332,宮城県富谷市明石台7-1-5,022-358-1976,https://townclinic-en.jp/,〇,〇,内科□小児科,鵜木和久鎌田文顕,,2,東北,2東北,4,宮城県,04宮城県,4216,富谷市,04216富谷市,403,仙台,0403仙台
807,医療法人社団三上医院,989-2351,宮城県亘理郡亘理町字裏城戸179-1,0223-34-3711,,〇,〇,内科,三上裕嗣三上宏子,,2,東北,2東北,4,宮城県,04宮城県,4361,亘理郡亘理町,04361亘理郡亘理町,403,仙台,0403仙台
808,ゆうファミリークリニック,981-0112,宮城県宮城郡利府町利府字新館2-5,022-766-4141,http://www.yu-family-clinic.com/,×,〇,内科,高橋裕一,,2,東北,2東北,4,宮城県,04宮城県,4406,宮城郡利府町,04406宮城郡利府町,403,仙台,0403仙台
809,御野場病院,010-1424,秋田県秋田市御野場二丁目１４番１号,018-839-6141,https://www.seikankai.or.jp/,〇,〇,内科神経内科ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,石黒英明,,2,東北,2東北,5,秋田県,05秋田県,5201,秋田市,05201秋田市,504,秋田周辺,0504秋田周辺
